smiles	class_results	superclass_results	pathway_results	isglycoside
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
CCCCCCCCC=CCCCCCCCC(C(CCCCCCC=CCCCCCC)C(=O)OC)OC(=O)C	Fatty acid estolides,Wax monoesters	Fatty esters	Fatty acids	False
CC(C)(C)OC(=O)NCCCC(C(=O)O)NC(=O)OC(C)(C)C				False
COC1=CC2=C(C(=C1)OC)C(=O)C=C(O2)C3=CC4=C(C=C3)OCO4	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CC1=C(C(CC(C1)O)(C)C)C#CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C	Carotenoids (C40, β-ε)	Carotenoids (C40)	Terpenoids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OCC(CO)O	Diacylglycerols	Glycerolipids	Fatty acids	False
C(CC(=O)O)C(C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides	False
C1=CC=C(C=C1)C(=O)OC2C(C(C(OC2C3=C(C4=C(C=C3O)OC5=CC(=C(C=C5C4=O)O)O)O)CO)O)O	Plant xanthones	Xanthones	Shikimates and Phenylpropanoids	False
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC12CCC3C(C1CCC2OC(=O)CCC4=CC=CC=C4)CCC5=C3C=CC(=C5)OC(=O)CCC6=CC=CC=C6		Steroids	Terpenoids	False
CCC(C=CC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C	Stigmastane steroids	Steroids	Terpenoids	False
CCCCCCC=CCC=CCC=CCCCCCCCCO	Fatty alcohols	Fatty acyls	Fatty acids	False
CC1C(C(C(C(O1)OC2=C(C=C3C=CC(=O)OC3=C2)C4=C(C=CC5=C4OC(=O)C=C5)O)O)O)O	Simple coumarins	Coumarins	Shikimates and Phenylpropanoids	True
CCCCCC=CCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CCCCCCC12CC3CCC4CC5(C(C6(C4C3(C(C1(CCC7(C2CC(CC7)(C)C(=O)[O-])C)C)CC6)C)CO5)CCC)O	Lupane triterpenoids	Triterpenoids	Terpenoids	True
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)OC(=O)C5=CC=C(C=C5)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CC1C(C(C(C(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)OC)O)O	Anthracyclines	Polycyclic aromatic polyketides	Polyketides	True
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
CCCCC(=O)C=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCCCCCCCC=CCCCCCCCC(C(CCCCCCC=CCCCCCC)C(=O)OC)OC(=O)C	Fatty acid estolides,Wax monoesters	Fatty esters	Fatty acids	False
CCCCCCCCCCC=CCCC1C(O1)CCC2C(O2)CCCCCCCCCCCCC3=CC(OC3=O)C	Acetogenins	Linear polyketides	Polyketides	False
C(C(C(=O)C=COP(=O)(O)O)N)N	Aminoacids	Small peptides	Amino acids and Peptides,Shikimates and Phenylpropanoids	False
CCCCCC=CCC=CCCCCCCCC(=O)NCC(C)C	N-acyl amines	Fatty amides	Fatty acids	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)O	Monoacylglycerols	Glycerolipids	Fatty acids	False
CCCCCCCCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CCCCCCCCCCCCCCC=C1C(C(=O)O1)CCCCCCCCCCCCCC			Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCN1C2=C(N=C1NCCN(C)C)N(C(=O)NC2=O)C	Purine alkaloids	Pseudoalkaloids	Alkaloids	False
CC(C)C1=CC(=O)C(=CC=C1C=CC(C)(C)O)OC2C(C(C(C(O2)CO)O)O)O			Terpenoids	True
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1)C)C=O)C	Oleanane triterpenoids	Triterpenoids	Terpenoids	False
CCC=CCC=CCC=CCCCCCCCC(=O)OCC(CO)O	Monoacylglycerols	Glycerolipids	Fatty acids	False
CCCCCCCCC=CCCCCCCCCCCCCCC(=O)N	Primary amides	Fatty amides	Fatty acids	False
CC1=CC=C(C=C1)N(CCCOC(=O)N)CCCOC(=O)N			Alkaloids	False
CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC=C4)C)C)C(C)C	Stigmastane steroids	Steroids	Terpenoids	False
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)N=[N+]=[N-]	Pyrimidine nucleos(t)ides	Nucleosides	Carbohydrates	False
CCCCCCCCC=CCCCCCCCCCCCC(=O)N	Primary amides	Fatty amides	Fatty acids	False
CCCCC(=O)C=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC	Shikimic acids and derivatives,Simple phenolic acids	Phenolic acids (C6-C1)	Shikimates and Phenylpropanoids	False
CC(=CCCC(=CCCC(=CCCC(=O)C)C)C)C	Fatty aldehydes,Hydrocarbons	Fatty acyls	Fatty acids	False
CCCCCCCC(=C1C(=O)CCCC1=O)O	Polyprenylated cyclic polyketides (Hop meroterpenoids)	Meroterpenoids	Polyketides	False
CCC(C(=O)OCCOC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)OCCOC(=O)C(CC)N3CC3)N4CC4			Alkaloids	False
CCCCCCCCC(=O)CCCCCCCCC(=O)OC	Oxo fatty acids	Fatty Acids and Conjugates	Fatty acids	False
C1CC(C=C(C1)C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCCCCCCCC(C(CO)N)O	Sphingoid bases	Sphingolipids	Fatty acids	False
CCCCCCCCC1C(O1)CCCCCCCC(=O)OC	Epoxy fatty acids	Fatty Acids and Conjugates	Fatty acids	False
CCCCCCCCCCCCCCNCCO	Fatty alcohols	Fatty acyls	Fatty acids	False
CC1C(C(C(C(O1)OC2C3C=COC(C3C4(C2O4)CO)O)OC(=O)C)OC(=O)C=CC5=CC=CC=C5)OC(=O)C	Iridoids monoterpenoids	Monoterpenoids	Terpenoids	True
CC(=O)OCC1C(C(C(C(O1)OC2C3C(COC3C4=CC5=C(C=C4)OCO5)C(O2)C6=CC7=C(C=C6)OCO7)O)O)O	Furofuranoid lignans	Lignans	Shikimates and Phenylpropanoids	True
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
C=C(CC(=O)O)C(=C)CC(=O)O	Dicarboxylic acids,Unsaturated fatty acids	Fatty Acids and Conjugates	Fatty acids	False
CCCCCCC12CC3CCC4CC5(C(C6(C4C3(C(C1(CCC7(C2CC(CC7)(C)C(=O)[O-])C)C)CC6)C)CO5)CCC)O	Lupane triterpenoids	Triterpenoids	Terpenoids	True
C1=CC(=CC=C1C(C#N)O)OC2C(C(C(C(O2)CO)O)O)O	Cyanogenic glycosides	Amino acid glycosides	Amino acids and Peptides	True
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OCC(CO)O	Diacylglycerols	Glycerolipids	Fatty acids	False
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
CCCCCCCCC=CCCCCCCCC(C(CCCCCCC=CCCCCCC)C(=O)OC)OC(=O)C	Fatty acid estolides,Wax monoesters	Fatty esters	Fatty acids	False
CCCCCCCCCCCCCCCC(=O)OCC=C(C)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C	Labdane diterpenoids	Diterpenoids	Terpenoids	False
CC(=CC(=O)NC1CC(N(C1)C(=O)C=C(C)C)C(=O)NC(CC2=CC=CC=C2)C(=O)N)C			Amino acids and Peptides	False
CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)CO	Carotenoids (C40, β-ε)	Carotenoids (C40)	Terpenoids	False
CC(C(=O)O)OC1C(C(OC(C1O)CO)O)NC(=O)C	Aminosugars	Aminosugars and aminoglycosides	Carbohydrates	True
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides,Shikimates and Phenylpropanoids	False
CCC=CCC=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)C4C(C(C(C(O4)CO)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CC(=O)OCC1C(C(C(C(O1)OC2=C(C(=C3C(=C2)OC(=CC3=O)C4=CC=C(C=C4)OC)O)OC)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	True
CCCCCCCCCCCCCCCCCCC(=O)OCC1(C2CCC(C=CCC(=C)C2CO1)(C)O)C=CC=C(C)C		Diterpenoids	Terpenoids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OCC(CO)O	Diacylglycerols	Glycerolipids	Fatty acids	False
CC1=CCCC2(C1CC(CC2)C(C)(C)OC3C(C(C(CO3)OC(=O)C)OC(=O)C)OC(=O)C)C	Eudesmane sesquiterpenoids	Sesquiterpenoids	Terpenoids	True
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(C)C1=CC(=O)C(=CC=C1C=CC(C)(C)O)OC2C(C(C(C(O2)CO)O)O)O			Terpenoids	True
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CC1=CC(=O)OC1CC2C(=C)CCC3C2(CCCC3(C)C(=O)O)C	Labdane diterpenoids	Diterpenoids	Terpenoids	False
CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4OC(=O)C)C)C	Androstane steroids	Steroids	Terpenoids	False
C1=CC=C(C=C1)COC2C(C(C(C(O2)CO)O)O)O			Shikimates and Phenylpropanoids	True
CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(CO)C=CC=C(C)C=CCC(C)(C)OC)C)C	Carotenoids (C40, β-Ψ)	Carotenoids (C40)	Terpenoids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CC(=O)NC1C=CC(C=C1)CCC(C(=O)O)NC(=O)C	Dipeptides	Small peptides	Amino acids and Peptides	False
CC(C(=O)O)NCCO	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCCCCCC(=O)CCCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CC(C(=O)O)NCCO	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCCCCCCCCCCCCCCC(=O)OCC1(C2CCC(C=CCC(=C)C2CO1)(C)O)C=CC=C(C)C		Diterpenoids	Terpenoids	False
C1=C(C=C(C=C1O)O)CCCCCCCC=CCCCCCC2=CC(=CC(=C2)O)O	Catechols with side chains	Aromatic polyketides	Polyketides	False
CCCCCCCCCC(=O)CCCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCOC(=O)C1=CN=C(N=C1C)SC	Pyridine alkaloids	Nicotinic acid alkaloids	Alkaloids	False
C(CC(=O)O)CNC1C(C(C(OC1O)CO)O)O	Aminosugars	Aminosugars and aminoglycosides	Carbohydrates	True
COC1=C(C=CC(=C1)CC=C)OOC2=C(C=C(C=C2)CC=C)OC	Cinnamic acids and derivatives,Neolignans	Phenylpropanoids (C6-C3),Lignans	Shikimates and Phenylpropanoids	False
CC(=O)NCCCC(C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCCCCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CC1(CCCC1=O)C(=O)OC				False
CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCC=CCC	Diacylglycerols	Glycerolipids	Fatty acids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
C(CCN)CC(C(=O)NC(CCN)C(=O)NC(CCCCN)C(=O)O)N	Tripeptides	Small peptides	Amino acids and Peptides	False
CCCCCCCCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
C1=CC(=CC(=C1)CC(C(=O)O)N)CC(C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides	False
CCC=CCC=CCC=CCCCCCCCC(=O)O	Unsaturated fatty acids	Fatty Acids and Conjugates	Fatty acids	False
COC1=CC(=CC(=C1)C=CC2=CC(=CC(=C2)OC)OC)OC	Monomeric stilbenes	Stilbenoids	Shikimates and Phenylpropanoids	False
CCC(=O)C=CC=CC=CC(CCCCCCCC(=O)O)O	Oxo fatty acids	Fatty Acids and Conjugates	Fatty acids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CC(=O)NC1C(CC(OC1C(C(CNC(=O)C2=CC3=CC=CC=C3C=C2)O)O)(C(=O)O)O)O	Aminosugars	Aminosugars and aminoglycosides	Carbohydrates	True
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
C1CCCCCC(CCCCC1)(C(=O)O)N				False
CC(=O)NC1C=CC(C=C1)CCC(C(=O)O)NC(=O)C	Dipeptides	Small peptides	Amino acids and Peptides	False
CCOC(=O)C1=C(C(=C(N1)C)C=O)C		Nicotinic acid alkaloids	Alkaloids	False
CC(CCC(=O)N)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	Cholane steroids	Steroids	Terpenoids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC=C(C)C(=O)NC1=NC(=O)N(C=C1)C2CC(C(C(O2)C)OC3C(C(C(C(O3)C)N(C)C)O)O)O	Pyrimidine nucleos(t)ides	Nucleosides	Carbohydrates	True
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CN1NC(=O)NN(P1(=O)OC2=CC=CC=C2)C	Imidazole alkaloids	Histidine alkaloids	Alkaloids	False
CCCCCCCCCCCCCCCC(=O)OCC=C(C)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C	Labdane diterpenoids	Diterpenoids	Terpenoids	False
C1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O	Simple phenolic acids	Phenolic acids (C6-C1)	Shikimates and Phenylpropanoids	True
CC1CCC2(C(C1(C)CCC(C)CCOC(=O)C)CCC=C2COC(=O)C)C	Colensane and Clerodane diterpenoids	Diterpenoids	Terpenoids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OCC(CO)O	Diacylglycerols	Glycerolipids	Fatty acids	False
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34	Estrane steroids	Steroids	Terpenoids	False
CN(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O	Tripeptides	Small peptides	Amino acids and Peptides	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	Glycerophosphocholines	Glycerophospholipids	Fatty acids	False
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)CO)C)(C)C(=O)OC)OC(=O)C)C)C	Lupane triterpenoids	Triterpenoids	Terpenoids	False
CCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCC=CCC=CCC=CCCCCC	Diacylglycerols	Glycerolipids	Fatty acids	False
C[N+](C)(C)CCOP(=O)(O)OCC(CO)O		Glycerophospholipids	Fatty acids	False
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)C4C(C(C(C(O4)CO)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CC(C)CCCC(C)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)OC(=O)C)C	Cholestane steroids	Steroids	Terpenoids	False
CCC=CCC=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CC(C(=O)O)NCCO	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC	Shikimic acids and derivatives,Simple phenolic acids	Phenolic acids (C6-C1)	Shikimates and Phenylpropanoids	False
CC1=C(C(=C(C(=C1O)C2=CC=C(C=C2)OC(=O)CC3=CC=CC=C3)O)O)C4=CC=C(C=C4)OC(=O)CC5=CC=CC=C5	p-Terphenyls	Terphenyls	Shikimates and Phenylpropanoids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CCCCC(=O)C=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NCC(=O)NCC4=CC(=C(C=C4)OC)OC)OC)OC)OC	Phenethylisoquinoline alkaloids	Tyrosine alkaloids	Alkaloids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
C1=CC(=CC=C1C2=CSC(=N2)NNC(=O)C3=CC4=C(C=C3)N=CN4)[N+](=O)[O-]	Imidazole alkaloids	Histidine alkaloids	Alkaloids	False
CC(C(=O)O)NCCO	Aminoacids	Small peptides	Amino acids and Peptides	False
C1=CC(=O)N(C1=O)CCCCCCC(=O)O			Alkaloids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
C1=C(C2=NON=C2C(=C1)[N+](=O)[O-])NC3C(C(C(OC3O)CO)O)O			Carbohydrates	True
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
C(CC(=O)C(=O)O)CN=C(N)N	Aminoacids	Small peptides	Amino acids and Peptides	False
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)C	Monacolins and Monacolin derivatives	Cyclic polyketides	Polyketides	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OCC(CO)O	Diacylglycerols	Glycerolipids	Fatty acids	False
CC(=O)NC(CCCN=C(N)NC(=O)NC)C(=O)NC	Tripeptides	Small peptides	Amino acids and Peptides	False
C1CCCCCC(CCCCC1)(C(=O)O)N				False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCC=CCC(=NCC(=O)O)C=O	Unsaturated fatty acids	Fatty Acids and Conjugates	Fatty acids	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)NCCO	N-acyl ethanolamines (endocannabinoids)	Fatty amides	Fatty acids	False
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)C4C(C(C(C(O4)CO)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
COC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC4=C(C=C3OC)OCO4	Isoflavones	Isoflavonoids	Shikimates and Phenylpropanoids	False
CCCCCCCCC=CCCCCCCCC(=O)OCCCO	Wax monoesters	Fatty esters	Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(C)CCCC(C)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)OC(=O)C)C	Cholestane steroids	Steroids	Terpenoids	False
CCCCCCCCCCCCCCCCCCCC(=O)N	Primary amides	Fatty amides	Fatty acids	False
CC(C=O)OC1C(C(OC(C1O)CO)O)NC(=O)C	Aminosugars	Aminosugars and aminoglycosides	Carbohydrates	True
CC(C)NC1=NC(=NC(=N1)N(C)C#N)NC(C)C	Phenylalanine-derived alkaloids	Pseudoalkaloids	Alkaloids	False
CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=O)C)C	Apocarotenoids (β-)	Apocarotenoids	Terpenoids	False
CC1=CCC(C(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C)(C)C)O	Carotenoids (C40, β-ε)	Carotenoids (C40)	Terpenoids	False
CCCCC(=O)C=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CC(=O)OC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C=C3OC(=O)C)OC(=O)C)OC(=O)C)O	Flavonols	Flavonoids	Shikimates and Phenylpropanoids	False
CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(CO)C=CC=C(C)C=CCC(C)(C)OC)C)C	Carotenoids (C40, β-Ψ)	Carotenoids (C40)	Terpenoids	False
CCCCCCCCCC(=O)CCCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CCOC(=O)C1=CC=CC=C1N(CC(=O)N(C)C)C(=O)C			Alkaloids,Shikimates and Phenylpropanoids	False
C1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O	Simple phenolic acids	Phenolic acids (C6-C1)	Shikimates and Phenylpropanoids	True
CC(=O)OC1CCC2(C(C1(C)C)CCC3(C2CC=C4C3(CCC5(C4C(C(CC5)(C)C)O)C(=O)OC)C)C)C	Oleanane triterpenoids	Triterpenoids	Terpenoids	False
C1=CC(=CC=C1CC(C(=O)O)N)O	Aminoacids	Small peptides	Amino acids and Peptides,Shikimates and Phenylpropanoids	False
CCCCC(CCCC)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O			Shikimates and Phenylpropanoids	False
CCCCCCCCCCCCCCCCCC(=O)OCC1CO1	Wax monoesters	Fatty esters	Fatty acids	False
C(CCNCC(=O)C(C(CO)O)O)CC(C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCCC1=CC=C(S1)C=O			Polyketides	False
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)C	Monacolins and Monacolin derivatives	Cyclic polyketides	Polyketides	False
CCCCCC1=CC(=CC(=C1C(=O)OC2=CC(=C(C(=C2)CCCCC)C(=O)OCC3=CC=CC=C3)OC)O)OC	Depsides	Aromatic polyketides	Polyketides	False
C(CC(=O)N)C(C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCCCCCCCCCCCC(=O)OCC=C(C)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C	Labdane diterpenoids	Diterpenoids	Terpenoids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OCC(CO)O	Diacylglycerols	Glycerolipids	Fatty acids	False
CC(C)(C)OC(=O)NCC1CN(CC1O)C(=O)OC(C)(C)C			Alkaloids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
CC(C(C(=O)NC(C(C)O)C(=O)NC(C(C)O)C(=O)O)N)O	Tripeptides	Small peptides	Amino acids and Peptides	False
CCC=CC=CC=CC=CCCCCCCCC(=O)O	Other Octadecanoids,Unsaturated fatty acids	Fatty Acids and Conjugates,Octadecanoids	Fatty acids	False
CCCCCCCC(=C1C(=O)CCCC1=O)O	Polyprenylated cyclic polyketides (Hop meroterpenoids)	Meroterpenoids	Polyketides	False
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)N=NC3=C(NC(=O)NC3=O)O)CC4=CC=CC=C4	Purine alkaloids	Pseudoalkaloids	Alkaloids	False
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O	Anthraquinones and anthrones	Polycyclic aromatic polyketides	Polyketides	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CC(C)CC(C(=O)O)NC(=O)C(C(C)C)NC(=O)C1(CCN(CC1)C(=O)OC(C)(C)C)C2=CC=CC=C2	Tripeptides	Small peptides	Amino acids and Peptides	False
C1CCCCCC(CCCCC1)(C(=O)O)N				False
CCCCCCC(=O)C=CC=CC(=O)CCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCCCCCCCCCCCCCCC(=O)CC(=O)OC	Oxo fatty acids	Fatty Acids and Conjugates	Fatty acids	False
CC1C2(CC34C1(C=C3)C5C(CCC4(C)O)C(=C)C(=O)O5)C6C(CC(=C7C(C6OC2=O)C(=CC7=O)C)C)OC(=O)C	Guaiane sesquiterpenoids	Sesquiterpenoids	Terpenoids	False
CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(=C)C)C(=C1O)C)C	Prenyl quinone meroterpenoids	Meroterpenoids	Terpenoids	False
